Product,Amount,Month Number
Product A,$120 ,1
Product B,$150 ,2
Product C,$180 ,3
Product D,$210 ,4
Product E,$240 ,5
Product A,$130 ,6
Product B,$160 ,7
Product C,$190 ,8
Product D,$220 ,9
Product E,$250 ,10
Product A,$140 ,11
Product B,$170 ,12
Product C,$200 ,1
Product D,$230 ,2
Product E,$260 ,3
Product A,$150 ,4
Product B,$180 ,5
Product C,$210 ,6
Product D,$240 ,7
Product E,$270 ,8
Product A,$160 ,9
Product B,$190 ,10
Product C,$220 ,11
Product D,$250 ,12
Product E,$280 ,1
Product A,$170 ,2
Product B,$200 ,3
Product C,$230 ,4
Product D,$260 ,5
Product E,$290 ,6
Product A,$180 ,7
Product B,$210 ,8
Product C,$240 ,9
Product D,$270 ,10
Product E,$300 ,11
Product A,$190 ,12
Product B,$220 ,1
Product C,$250 ,2
Product D,$280 ,3
Product E,$310 ,4
Product A,$200 ,5
Product B,$230 ,6
Product C,$260 ,7
Product D,$290 ,8
Product E,$320 ,9
Product A,$210 ,10
Product B,$240 ,11
Product C,$270 ,12
Product D,$300 ,1
Product E,$330 ,2
Product A,$220 ,3
Product B,$250 ,4
Product C,$280 ,5
Product D,$310 ,6
Product E,$340 ,7
Product A,$230 ,8
Product B,$260 ,9
Product C,$290 ,10
Product D,$320 ,11
Product E,$350 ,12
Product A,$240 ,1
Product B,$270 ,2
Product C,$300 ,3
Product D,$330 ,4
Product E,$360 ,5
Product A,$250 ,6
Product B,$280 ,7
Product C,$310 ,8
Product D,$340 ,9
Product E,$370 ,10
Product A,$260 ,11
Product B,$290 ,12
Product C,$320 ,1
Product D,$350 ,2
Product E,$380 ,3
Product A,$270 ,4
Product B,$300 ,5
Product C,$330 ,6
Product D,$360 ,7
Product E,$390 ,8
Product A,$280 ,9
Product B,$310 ,10
Product C,$340 ,11
Product D,$370 ,12
Product E,$400 ,1
Product A,$290 ,2
Product B,$320 ,3
Product C,$350 ,4
Product D,$380 ,5
Product E,$410 ,6
Product A,$300 ,7
Product B,$330 ,8
Product C,$360 ,9
Product D,$390 ,10
Product E,$420 ,11
Product A,$310 ,12
Product B,$340 ,1
Product C,$370 ,2
Product D,$400 ,3
Product E,$430 ,4
Product A,$320 ,5
Product B,$350 ,6
Product C,$380 ,7
Product D,$410 ,8
Product E,$440 ,9
Product A,$330 ,10
Product B,$360 ,11
Product C,$390 ,12
Product D,$420 ,1
Product E,$450 ,2
Product A,$340 ,3
Product B,$370 ,4
Product C,$400 ,5
Product D,$430 ,6
Product E,$460 ,7
Product A,$350 ,8
Product B,$380 ,9
Product C,$410 ,10
Product D,$440 ,11
Product E,$470 ,12
